INSERT INTO friendsReq
VALUES (0,"Rickey_Kuhn","Whitney_Jaskolski"),
(221,"Cade","Marty.Farrell"),
(222,"Everette_Yundt","Dimitri_Bayer"),
(223,"Melba.Konopelski","Brandyn"),
(224,"Lucy.Ebert","Dena.Herman"),
(225,"Lue","Annabel.Leuschke"),
(226,"Cary.Wiegand","Linwood"),
(227,"Kallie.Rutherford","Lottie.Jacobi"),
(228,"Brendan","Molly"),
(229,"Bartholome.Stark","Delia_Kuhn"),
(230,"Jeramy","Stanley"),
(231,"Gwen","Madonna.White"),
(232,"Jena","Amara"),
(233,"Evans","Zoie"),
(234,"Cydney_DuBuque","Stanley"),
(235,"Kelsi_Swaniawski","Solon.Thiel"),
(236,"Henri_Champlin","Alexzander.Monahan"),
(237,"Selmer","Yvonne_O'Keefe"),
(238,"Dino","Brannon"),
(239,"Danny.Kuhlman","Lamont"),
(240,"Una","Lawrence_Green"),
(241,"Tatyana","Heaven"),
(242,"Odessa","Lincoln"),
(243,"Royce","Helen"),
(244,"Amina","Thurman.Eichmann"),
(245,"Alexa.Johnston","Kirstin"),
(246,"Leopoldo","Fatima_Dickens"),
(247,"Kassandra.Ondricka","Israel.Cartwright"),
(248,"Milo","Georgette"),
(249,"Alvena.Koch","Dortha"),
(250,"Lulu.O'Kon","Cleveland"),
(251,"Lue","Ozella"),
(252,"Jeff","Eliane.Schneider"),
(253,"Maryam.Kuhlman","Jayda"),
(254,"Jeff","Carlie"),
(255,"Jada","Royal_Koelpin"),
(256,"Sandy","Kurt_D'Amore"),
(257,"Marlin","Edwina"),
(258,"Joelle_Crist","Sophia"),
(259,"Lupe_Heller","Kevon"),
(260,"Tanner","Lilian"),
(261,"Fern","Kamryn.Gorczany"),
(262,"Adonis","Letha"),
(263,"Emerson","Delia"),
(264,"Ora","Hassan_Becker"),
(265,"Jazlyn","Georgette"),
(266,"Maybelle.Hudson","Leopoldo.Leannon"),
(267,"Paxton_Ullrich","Alvena.Koch"),
(268,"Alysa.Ankunding","Ressie"),
(269,"Giovanni.Walker","Glen"),
(270,"Delaney.Windler","Brenden"),
(271,"Adolph","Fern"),
(272,"Lafayette","Luella_Hintz"),
(273,"Ward","Brenden"),
(274,"Stuart","Keanu_Rogahn"),
(275,"Donnie","Yvonne_O'Keefe"),
(276,"Missouri_Funk","Berenice"),
(277,"Rosalind","Jeffery.Tillman"),
(278,"Logan","Kacie"),
(279,"Willard.Zemlak","Adrien.Williamson"),
(280,"Rylan.Nitzsche","Verlie.Lockman"),
(281,"Ariane","Eusebio_Rice"),
(282,"Cathy","Kathryne.Bednar"),
(283,"Melba.Konopelski","Maxie"),
(284,"Cruz_Hilll","Anissa"),
(285,"Monserrate","Henri_Champlin"),
(286,"Susana","Khalil"),
(287,"Velda","Adrain_Heathcote"),
(288,"Ozella","Weston_Greenfelder"),
(289,"Lucy.Ebert","Jeramy"),
(290,"Lacey","Hilbert.Murray"),
(291,"Bartholome_Kutch","Polly.West"),
(292,"Cruz_Hilll","Macie_Hoppe"),
(293,"Beryl_Grady","Jayne.Zemlak"),
(294,"Hortense","Eusebio_Rice"),
(295,"Giles","Maurine"),
(296,"Edwina.Emard","Bernie"),
(297,"Sherman.O'Conner","Lindsey.Beatty"),
(298,"Alyson","Willard"),
(299,"Cecelia_Schuppe","Lisandro"),
(300,"Spencer_Armstrong","Clemens"),
(301,"Annabel.Leuschke","Ericka.Grant"),
(302,"Teresa_Bruen","Mike"),
(303,"Demarcus","Lorena.Jones"),
(304,"Marietta","Madyson"),
(305,"Karlee.Heidenreich","Elyse.Hyatt"),
(306,"Edward","Jennie.Blick"),
(307,"Lorena.Jones","Malika_Kessler"),
(308,"Claude","Charlene.Crona"),
(309,"Cecilia","Jazlyn"),
(310,"Dawson_Donnelly","Adolphus_Beatty"),
(311,"Colleen.Larson","Daniela_Parisian"),
(312,"Mattie","Rhett.Hudson"),
(313,"Rodrigo","Makayla"),
(314,"Alyson","Wilfredo"),
(315,"Cleo.Ryan","Dianna"),
(316,"Nona_Oberbrunner","Jodie"),
(317,"Kendra_Willms","Thurman.Eichmann"),
(318,"Julia_Rice","Levi.Rippin"),
(319,"Mariam","Shayna_Harvey"),
(320,"Shannon_Weimann","Krystal.Turner"),
(321,"Brycen_Bosco","Paxton_Ullrich"),
(322,"Frieda","Karlee"),
(323,"Linnie_Miller","Khalil_Welch"),
(324,"Wilson_Harber","Aletha"),
(325,"Brian","Lorna.Runolfsson"),
(326,"Jesse.Dare","Cecelia"),
(327,"Martina.Boyle","Giovanna.Pacocha"),
(328,"Wayne","Olga.Johnson"),
(329,"Louie.Hettinger","Berneice.Rath"),
(330,"Ara","Maye"),
(331,"Bradford","Karlee"),
(332,"Marietta","Felicia"),
(333,"Ivah_Wehner","Maia.Murphy"),
(334,"Martina.Boyle","Adolphus_Beatty"),
(335,"Nick","Daphne"),
(336,"Monserrate","Amir"),
(337,"D'angelo","Therese"),
(338,"Amya.Quitzon","Lynn"),
(339,"Claudine.Sanford","Orie"),
(340,"George_Wilderman","Therese"),
(341,"Susana","Ocie_Koss"),
(342,"Tillman_VonRueden","Garett.Stamm"),
(343,"Antonia","Hortense"),
(344,"Buddy_Wiza","Wilfredo"),
(345,"Jessica","Donnie"),
(346,"Kendra","Glenna_Altenwerth"),
(347,"Cecilia","Ara_Osinski"),
(348,"Kirsten.Cassin","Adolf"),
(349,"Gina_Farrell","Hardy_Morissette"),
(350,"Maximo","Celestine"),
(351,"Bartholome_Kutch","Iva_Leuschke"),
(352,"Ora","Sandy"),
(353,"Tate.Ryan","Ben.Shanahan"),
(354,"Ben.Shanahan","Mike"),
(355,"Judah_Predovic","Hiram_Hand"),
(356,"Lindsay_Schiller","Zachariah"),
(357,"Alec_Bednar","Estefania"),
(358,"George_Wilderman","Levi.Rippin"),
(359,"Holly.Lubowitz","Teresa_Bruen"),
(360,"Dandre.Wintheiser","Myrtice_Morissette"),
(361,"Stephon","Howell_West"),
(362,"Edwina.Emard","Amiya"),
(363,"Jewel","Julius_Wiegand"),
(364,"Raquel.Berge","Mariano.VonRueden"),
(365,"Fernando_Stark","Chance"),
(366,"Kylie","Jazlyn"),
(367,"Judah_Predovic","Jon_Howe"),
(368,"Savanah","Alva.Kemmer"),
(369,"Jimmie","Mark"),
(370,"Sierra.Runte","Lindsey.Kuvalis"),
(371,"Beverly.Mohr","Andreanne.Nitzsche"),
(372,"Alvah_Lakin","Waylon"),
(373,"Velva","Ricardo.Ondricka"),
(374,"Heaven","Jeramy.Rolfson"),
(375,"Florencio.Brakus","Clemmie"),
(376,"Edwina","Josiane_Harris"),
(377,"Sandy","Maryam.Kuhlman"),
(378,"Corene","Darien"),
(379,"Mark","Imogene"),
(380,"Buford.Paucek","Halle"),
(381,"Doug","Kirsten"),
(382,"Jodie","Eliezer"),
(383,"Alvena.Koch","Wilfredo"),
(384,"Garett","Shayna"),
(385,"Merl.Rippin","Dulce.Fisher"),
(386,"Judah_Predovic","Cecelia"),
(387,"Heloise.Mayer","Josiane_Labadie"),
(388,"Anastasia","Alaina.Abbott"),
(389,"Sterling","Edyth.Roob"),
(390,"George","Ceasar_Eichmann"),
(391,"Chesley","Shea"),
(392,"Jaden_Block","Chloe_Douglas"),
(393,"Fae","Tyree"),
(394,"Coty","Amiya"),
(395,"Reina","Caden_Rice"),
(396,"Cydney_DuBuque","Jodie"),
(397,"Myrtie","Brenden"),
(398,"Christa.Sauer","Lorna.Runolfsson"),
(399,"Pansy","Caroline"),
(400,"Adolph","Josiane_Harris"),
(401,"Khalil","Herminio"),
(402,"Earline_Nader","Robb"),
(403,"Micaela","Jared"),
(404,"Lincoln","Trey_Williamson"),
(405,"Ariane","Crystel"),
(406,"Linwood","Garret_Bauch"),
(407,"Twila","Jamaal.Goldner"),
(408,"Miles","Milo"),
(409,"Rose","Nasir"),
(410,"Kelley_Lemke","Kallie.Rutherford"),
(411,"Anissa","Larue.Klocko"),
(412,"Josefina","Maynard"),
(413,"Fern","Maybelle.Hudson"),
(414,"Velda","Stanley"),
(415,"Adaline","Emelia_Crooks"),
(416,"Veda.Swift","Myrtis.Orn"),
(417,"Doug","Robb"),
(418,"Clementine","Frances.Roob"),
(419,"Alta_Walter","Christa.Sauer"),
(420,"Norma","Madie"),
(421,"Bette","Eugene.Cartwright"),
(422,"Demarco","Queen"),
(423,"Krystina.Casper","Shayna"),
(424,"Piper.Schuster","Dina"),
(425,"Annamae","Paxton_Ullrich"),
(426,"Lulu.O'Kon","Garrick_Lowe"),
(427,"Ayden","Joannie"),
(428,"Minerva.Corkery","Nadia.Littel"),
(429,"Kevon","Gwendolyn"),
(430,"Nona_Oberbrunner","Brenden"),
(431,"Abner","Mossie"),
(432,"Emmalee","Serenity"),
(433,"Janessa.Oberbrunner","Miguel_Abshire"),
(434,"Velva","Danielle_Gislason"),
(435,"Guido.Greenfelder","Lora"),
(436,"Foster_Prosacco","Gregory.Von"),
(437,"Bethel.Willms","Ruth_Trantow"),
(438,"Alyson","Cecelia_Schuppe"),
(439,"Jovanny","Oceane"),
(440,"Julia_Rice","Elvera.Hoppe"),
(441,"Ivah","Giovanna"),
(442,"Haylie.Cruickshank","Ralph"),
(443,"Geovanni","Shirley_Towne"),
(444,"Lessie_Sawayn","Tessie"),
(445,"Melvina.Raynor","Moises"),
(446,"Sandy","Noble_Hane"),
(447,"Royce","Solon"),
(448,"Haylie.Cruickshank","Colby_Hills"),
(449,"Ivah_Wehner","Adolf"),
(450,"Roman.Brakus","Jodie"),
(451,"Leopoldo","Zion_Lubowitz"),
(452,"Laverne_Casper","Avery_Douglas"),
(453,"Glenna_Altenwerth","Ricardo.Ondricka"),
(454,"Merl_Reinger","Loyce.Rogahn"),
(455,"Therese","Anissa"),
(456,"Haven_Harªann","Otho_Walsh"),
(457,"Shannon_Weimann","Gina_Bradtke"),
(458,"Cydney_DuBuque","Reed"),
(459,"Clarissa","Kenyatta.Waelchi"),
(460,"Lafayette","Kamron"),
(461,"Lucas.Bailey","Ara_Osinski"),
(462,"Kristoffer_Medhurst","Andreanne.Nitzsche"),
(463,"Bartholome.Stark","Norval"),
(464,"Pasquale","Felicia"),
(465,"Mekhi","Dario"),
(466,"Missouri_Jacobs","Maurine.Ferry"),
(467,"Albina","Myrtis.Orn"),
(468,"Berenice","Maye"),
(469,"Anastasia_Romaguera","Demond.Effertz"),
(470,"D'angelo","Johathan"),
(471,"Vida.Torp","Reginald_Treutel"),
(472,"Ressie","Reina"),
(473,"Kristopher.Connelly","Halie.Heaney"),
(474,"Hilma","Dimitri"),
(475,"Verla","Kevon"),
(476,"Jovanny","Nia.Haag"),
(477,"George_Wilderman","Wilfred.Rau"),
(478,"Bradford","Margaretta_Glover"),
(479,"Jaron","Dina"),
(480,"Joan_Bashirian","Willard"),
(481,"Clarissa","Genevieve"),
(482,"Lois","Lewis"),
(483,"Kristoffer_Medhurst","Macie_Hoppe"),
(484,"Amina","Nickolas.Dickens"),
(485,"Adalberto","Amiya"),
(486,"Spencer_Armstrong","Bell.Reichel"),
(487,"Earline","Adriana"),
(488,"Davonte_Greenfelder","Delta"),
(489,"Lilian","Kirstin"),
(490,"Brenden","Jayda"),
(491,"Kendra_Willms","Delta"),
(492,"Ceasar_Eichmann","Alek_Maggio"),
(493,"Christa.Sauer","Rozella.Wilderman"),
(494,"Ara","Robb"),
(495,"Heber.O'Kon","Maximillian"),
(496,"Aiden","Velva"),
(497,"Malachi","Demarco"),
(498,"Bart","Kristy.Schuster"),
(499,"Luella_Hintz","Lorena.Jones")
