INSERT INTO activityLog( activityId, userName, activitySummary )
( 261, 'Jeanie_Reichel', 'You liked a post'), 
( 262, 'Glen', 'You liked a post'), 
( 263, 'Anika_Feest', 'You made a post'), 
( 264, 'Althea.Reichert', 'You liked a post'), 
( 265, 'Alec_Bednar', 'You liked a post'), 
( 266, 'Giovanna.Pacocha', 'You made a comment'), 
( 267, 'Margarita.Runolfsdottir', 'You liked a post'), 
( 268, 'Gunner', 'You liked a post'), 
( 269, 'Erin.Hyatt', 'You liked a post'), 
( 270, 'Delaney.Windler', 'You liked a post'), 
( 271, 'Pink', 'You liked a post'), 
( 272, 'Vern_Feil', 'You liked a post'), 
( 273, 'Irwin.Guªann', 'You made a post'), 
( 274, 'Nellie', 'You liked a post'), 
( 275, 'Shayna_Harvey', 'You liked a post'), 
( 276, 'Cecelia_Schuppe', 'You liked a post'), 
( 277, 'Fatima_Dickens', 'You liked a post'), 
( 278, 'Kale', 'You made a comment'), 
( 279, 'Cleveland', 'You liked a post'), 
( 280, 'Nellie', 'You made a post'), 
( 281, 'Nasir', 'You made a comment'), 
( 282, 'Merlin', 'You liked a post'), 
( 283, 'Madyson', 'You liked a post'), 
( 284, 'Asha.Legros', 'You liked a post'), 
( 285, 'Glen', 'You liked a post'), 
( 286, 'Carson.Tromp', 'You made a post'), 
( 287, 'Evans', 'You made a post'), 
( 288, 'Adam_Littel', 'You liked a post'), 
( 289, 'Camden', 'You made a comment'), 
( 290, 'Kacie', 'You liked a post'), 
( 291, 'Kenyatta.Waelchi', 'You liked a post'), 
( 292, 'Juston', 'You made a post'), 
( 293, 'Lindsay_Schiller', 'You made a post'), 
( 294, 'Jayda', 'You liked a post'), 
( 295, 'Twila', 'You made a comment'), 
( 296, 'Lue', 'You liked a post'), 
( 297, 'Marina', 'You liked a post'), 
( 298, 'Lynn', 'You liked a post'), 
( 299, 'Howell_West', 'You liked a post'), 
( 300, 'Cleveland', 'You liked a post'), 
( 301, 'Logan', 'You liked a post'), 
( 302, 'Daphne', 'You liked a post'), 
( 303, 'Dallin', 'You made a post'), 
( 304, 'Sylvester.Rodriguez', 'You liked a post'), 
( 305, 'Dolores', 'You liked a post'), 
( 306, 'Hiram_Hand', 'You liked a post'), 
( 307, 'Reagan_Rath', 'You liked a post'), 
( 308, 'Adaline', 'You liked a post'), 
( 309, 'Rae_Bosco', 'You made a comment'), 
( 310, 'Nicole_Corwin', 'You made a post'), 
( 311, 'Garret_Bauch', 'You liked a post'), 
( 312, 'Clemens_Friesen', 'You liked a post'), 
( 313, 'Julia_Rice', 'You liked a post'), 
( 314, 'Reagan_Rath', 'You made a comment'), 
( 315, 'Nathan', 'You made a comment'), 
( 316, 'Giovanni.Walker', 'You liked a post'), 
( 317, 'Lulu.O'Kon', 'You liked a post'), 
( 318, 'Erik.Hettinger', 'You liked a post'), 
( 319, 'Nicole_Corwin', 'You liked a post'), 
( 320, 'Hadley', 'You liked a post'), 
( 321, 'Emory_Krajcik', 'You made a post'), 
( 322, 'Reginald_Treutel', 'You liked a post'), 
( 323, 'Anissa', 'You liked a post'), 
( 324, 'Joannie', 'You liked a post'), 
( 325, 'Josiane_Labadie', 'You liked a post'), 
( 326, 'Wilfrid_Mueller', 'You made a post'), 
( 327, 'Millie_Hessel', 'You liked a post'), 
( 328, 'Idella', 'You liked a post'), 
( 329, 'Rosetta.Streich', 'You made a comment'), 
( 330, 'Maximillian', 'You liked a post'), 
( 331, 'Carlie', 'You liked a post'), 
( 332, 'Glenna_Altenwerth', 'You liked a post'), 
( 333, 'Rosendo', 'You liked a post'), 
( 334, 'Brendan', 'You made a comment'), 
( 335, 'Imelda', 'You liked a post'), 
( 336, 'Edward', 'You made a comment'), 
( 337, 'Jaycee_Conn', 'You liked a post'), 
( 338, 'Jovanny', 'You liked a post'), 
( 339, 'Ava', 'You liked a post'), 
( 340, 'Johathan.Harris', 'You made a comment'), 
( 341, 'Leanna_Schneider', 'You liked a post'), 
( 342, 'Mark', 'You made a post'), 
( 343, 'Bernie', 'You liked a post'), 
( 344, 'Reed', 'You made a comment'), 
( 345, 'Enid_Waters', 'You made a post'), 
( 346, 'Lois', 'You liked a post'), 
( 347, 'Jamey.Greenfelder', 'You liked a post'), 
( 348, 'Mara_Osinski', 'You liked a post'), 
( 349, 'Estella', 'You made a post'), 
( 350, 'Granville', 'You liked a post'), 
( 351, 'Sylvester.Rodriguez', 'You liked a post'), 
( 352, 'Lucie.Mills', 'You liked a post'), 
( 353, 'Sherman.O'Conner', 'You liked a post'), 
( 354, 'Gabriel', 'You liked a post'), 
( 355, 'Jensen_Lemke', 'You liked a post'), 
( 356, 'Lue', 'You liked a post'), 
( 357, 'Jace', 'You liked a post'), 
( 358, 'Adaline', 'You made a comment'), 
( 359, 'Cecelia_Schuppe', 'You liked a post'), 
( 360, 'Albertha_Kovacek', 'You liked a post'), 
( 361, 'Cleveland', 'You made a comment'), 
( 362, 'Manuela', 'You liked a post'), 
( 363, 'Drake', 'You liked a post'), 
( 364, 'Erin.Hyatt', 'You liked a post'), 
( 365, 'Rafael_Emmerich', 'You liked a post'), 
( 366, 'Jamal.Franecki', 'You made a comment'), 
( 367, 'Piper.Schuster', 'You liked a post'), 
( 368, 'Giovanni.Walker', 'You liked a post'), 
( 369, 'Billy', 'You liked a post'), 
( 370, 'Karlee.Heidenreich', 'You made a post'), 
( 371, 'Daisy', 'You liked a post'), 
( 372, 'Irwin.Guªann', 'You liked a post'), 
( 373, 'Quinton_Prohaska', 'You liked a post'), 
( 374, 'Randall', 'You liked a post'), 
( 375, 'Leonard', 'You made a comment'), 
( 376, 'Dannie_Kshlerin', 'You liked a post'), 
( 377, 'Leanna_Schneider', 'You made a comment'), 
( 378, 'Verla.Mertz', 'You liked a post'), 
( 379, 'Bethel_O'Keefe', 'You liked a post'), 
( 380, 'Cary.Wiegand', 'You liked a post'), 
( 381, 'Martina.Boyle', 'You made a post'), 
( 382, 'Kristopher', 'You liked a post'), 
( 383, 'Keegan', 'You liked a post'), 
( 384, 'Kristopher.Connelly', 'You liked a post'), 
( 385, 'Geraldine.Fadel', 'You made a comment'), 
( 386, 'Maye', 'You liked a post'), 
( 387, 'Zion.Kovacek', 'You liked a post'), 
( 388, 'Clemens', 'You made a post'), 
( 389, 'Bella_Hammes', 'You liked a post'), 
( 390, 'Clementina', 'You made a post'), 
( 391, 'Keegan', 'You made a post'), 
( 392, 'Ruth_Trantow', 'You liked a post'), 
( 393, 'Prudence.Kuhn', 'You liked a post'), 
( 394, 'Coty', 'You liked a post'), 
( 395, 'Lorenz', 'You liked a post'), 
( 396, 'Ariane', 'You liked a post'), 
( 397, 'Grant.Keebler', 'You liked a post'), 
( 398, 'Elnora.Simonis', 'You liked a post'), 
( 399, 'Jimmie.Ritchie', 'You liked a post'), 
( 400, 'Khalil_Welch', 'You liked a post'), 
( 401, 'Aidan', 'You liked a post'), 
( 402, 'Gabriel_Wehner', 'You made a post'), 
( 403, 'Adolph', 'You liked a post'), 
( 404, 'Tyree', 'You liked a post'), 
( 405, 'Camden', 'You liked a post'), 
( 406, 'Max_Gorczany', 'You liked a post'), 
( 407, 'Darryl.Rippin', 'You made a post'), 
( 408, 'Kip', 'You liked a post'), 
( 409, 'Marlin', 'You liked a post'), 
( 410, 'Chance', 'You made a comment'), 
( 411, 'Khalil', 'You liked a post'), 
( 412, 'Helen.Becker', 'You liked a post'), 
( 413, 'Danny.Mertz', 'You liked a post'), 
( 414, 'Susana', 'You made a post'), 
( 415, 'Annamae', 'You liked a post'), 
( 416, 'Shannon_Weimann', 'You liked a post'), 
( 417, 'Darien', 'You liked a post'), 
( 418, 'Pat_Toy', 'You liked a post'), 
( 419, 'Gaston_Satterfield', 'You liked a post'), 
( 420, 'Annabel.Leuschke', 'You made a comment'), 
( 421, 'Kaya_Bradtke', 'You liked a post'), 
( 422, 'Tessie', 'You made a comment'), 
( 423, 'Monte.Shields', 'You liked a post'), 
( 424, 'Hiram_Hand', 'You liked a post'), 
( 425, 'Norma', 'You liked a post'), 
( 426, 'Donnie', 'You liked a post'), 
( 427, 'Twila', 'You liked a post'), 
( 428, 'Marina', 'You liked a post'), 
( 429, 'Genevieve', 'You made a post'), 
( 430, 'Emmalee', 'You liked a post'), 
( 431, 'Lisandro', 'You liked a post'), 
( 432, 'Jeramy.Rolfson', 'You liked a post'), 
( 433, 'Rhoda', 'You liked a post'), 
( 434, 'Quinton_Prohaska', 'You liked a post'), 
( 435, 'Curt.Hayes', 'You liked a post'), 
( 436, 'Amara', 'You liked a post'), 
( 437, 'Delia_Hermann', 'You liked a post'), 
( 438, 'Ezra.Bartell', 'You liked a post'), 
( 439, 'Stanford_White', 'You made a post'), 
( 440, 'Ericka.Grant', 'You made a comment'), 
( 441, 'Adella', 'You liked a post'), 
( 442, 'Harmon', 'You made a comment'), 
( 443, 'D'angelo', 'You made a comment'), 
( 444, 'Jaycee_Conn', 'You liked a post'), 
( 445, 'Merlin', 'You made a comment'), 
( 446, 'Lauryn', 'You liked a post'), 
( 447, 'Bryana', 'You liked a post'), 
( 448, 'Jayne.Zemlak', 'You made a comment'), 
( 449, 'Jena', 'You made a comment'), 
( 450, 'Jamal.Franecki', 'You liked a post'), 
( 451, 'Kenyatta', 'You liked a post'), 
( 452, 'Adolf', 'You made a post'), 
( 453, 'Alanis', 'You made a comment'), 
( 454, 'Manuela', 'You liked a post'), 
( 455, 'Leslie.Feeney', 'You liked a post'), 
( 456, 'Frances.Roob', 'You made a comment'), 
( 457, 'Berneice.Rath', 'You liked a post'), 
( 458, 'Miguel_Abshire', 'You liked a post'), 
( 459, 'Liliane', 'You liked a post'), 
( 460, 'Logan', 'You liked a post'), 
( 461, 'Bartholome_Kutch', 'You liked a post'), 
( 462, 'Edward', 'You liked a post'), 
( 463, 'Virginia_Stanton', 'You liked a post'), 
( 464, 'Gaston_Satterfield', 'You made a comment'), 
( 465, 'Kassandra.Ondricka', 'You made a post'), 
( 466, 'Nola', 'You liked a post'), 
( 467, 'Jamey.Greenfelder', 'You liked a post'), 
( 468, 'Marianne.Hettinger', 'You liked a post'), 
( 469, 'King', 'You liked a post'), 
( 470, 'Demarco', 'You liked a post'), 
( 471, 'Kurtis_Ullrich', 'You made a comment'), 
( 472, 'Reagan_Rath', 'You liked a post'), 
( 473, 'Beryl_Grady', 'You liked a post'), 
( 474, 'Celestine_Greenholt', 'You made a comment'), 
( 475, 'Missouri_Funk', 'You liked a post'), 
( 476, 'Grant.Keebler', 'You made a post'), 
( 477, 'Nella_Dicki', 'You liked a post'), 
( 478, 'Khalil', 'You made a post'), 
( 479, 'Rodrigo', 'You liked a post'), 
( 480, 'Junius', 'You made a comment'), 
( 481, 'Giovanna', 'You liked a post'), 
( 482, 'Lindsay_Schiller', 'You liked a post'), 
( 483, 'Cary.Wiegand', 'You made a comment'), 
( 484, 'Roman.Brakus', 'You liked a post'), 
( 485, 'Janis.Hayes', 'You made a comment'), 
( 486, 'Mateo_Kerluke', 'You liked a post'), 
( 487, 'Alessandro', 'You liked a post'), 
( 488, 'Sylvester', 'You liked a post'), 
( 489, 'Dannie_Kshlerin', 'You liked a post'), 
( 490, 'George', 'You liked a post'), 
( 491, 'Merlin', 'You liked a post'), 
( 492, 'Wilson_Harber', 'You liked a post'), 
( 493, 'Missouri_Funk', 'You liked a post'), 
( 494, 'Verlie.Lockman', 'You liked a post'), 
( 495, 'Leonard', 'You liked a post'), 
( 496, 'Flavie', 'You liked a post'), 
( 497, 'Ramona.Lind', 'You made a comment'), 
( 498, 'Myrtis.Orn', 'You made a post'), 
( 499, 'Estefania', 'You made a post'), 
( 500, 'Nicole_Corwin', 'You liked a post'), 
( 501, 'Kenyatta.Lebsack', 'You made a post'), 
( 502, 'Rozella.Wilderman', 'You made a comment'), 
( 503, 'Erin.Hyatt', 'You liked a post'), 
( 504, 'Kaya_Bradtke', 'You liked a post'), 
( 505, 'Josephine_Grady', 'You made a post'), 
( 506, 'Ernesto', 'You liked a post'), 
( 507, 'Rosamond.Bode', 'You liked a post'), 
( 508, 'Bryana', 'You made a comment'), 
( 509, 'Rigoberto', 'You liked a post'), 
( 510, 'Ara_Osinski', 'You liked a post'), 
( 511, 'Mathilde', 'You liked a post'), 
( 512, 'Bennett', 'You made a post'), 
( 513, 'Adriana', 'You liked a post'), 
( 514, 'Khalil', 'You liked a post'), 
( 515, 'Maida.Gaylord', 'You made a post'), 
( 516, 'Rickey_Kuhn', 'You liked a post'), 
( 517, 'Abelardo', 'You liked a post'), 
( 518, 'Karson', 'You liked a post'), 
( 519, 'Modesta.Stark', 'You liked a post'), 
( 520, 'Eloise', 'You liked a post'), 
( 521, 'Marjory_Leannon', 'You liked a post'), 
( 522, 'Francis_Monahan', 'You made a post'), 
( 523, 'Maximillian', 'You liked a post'), 
( 524, 'Jaiden_Rodriguez', 'You made a post'), 
( 525, 'Arlene', 'You made a comment'), 
( 526, 'Maxie', 'You liked a post'), 
( 527, 'Brisa', 'You liked a post'), 
( 528, 'Erna', 'You liked a post'), 
( 529, 'Trey_Williamson', 'You liked a post'), 
( 530, 'Danielle_Gislason', 'You liked a post'), 
( 531, 'Jacey_Moore', 'You liked a post'), 
( 532, 'Sylvester', 'You liked a post'), 
( 533, 'Donald.Mohr', 'You made a comment'), 
( 534, 'Skylar_Pagac', 'You made a post'), 
( 535, 'Drake', 'You made a comment'), 
( 536, 'Freddie.Thiel', 'You liked a post'), 
( 537, 'Melba.Konopelski', 'You liked a post'), 
( 538, 'Aidan', 'You liked a post'), 
( 539, 'Joannie', 'You liked a post'), 
( 540, 'Paxton.Schultz', 'You liked a post'), 
( 541, 'Filomena.Sanford', 'You liked a post'), 
( 542, 'Jeanie_Reichel', 'You made a post'), 
( 543, 'Gilda', 'You liked a post'), 
( 544, 'Bartholome.Stark', 'You liked a post'), 
( 545, 'Dandre', 'You liked a post'), 
( 546, 'Maryam.Kuhlman', 'You made a comment'), 
( 547, 'Lemuel', 'You liked a post'), 
( 548, 'Trenton', 'You liked a post'), 
( 549, 'Crystel', 'You liked a post'), 
( 550, 'Camryn.Hintz', 'You liked a post'), 
( 551, 'Jayden', 'You liked a post'), 
( 552, 'Justyn.Smitham', 'You made a comment'), 
( 553, 'Maida.Gaylord', 'You liked a post'), 
( 554, 'Timmy', 'You liked a post'), 
( 555, 'Anastacio', 'You liked a post'), 
( 556, 'Arnaldo', 'You liked a post'), 
( 557, 'Daphne', 'You liked a post'), 
( 558, 'Akeem', 'You made a post'), 
( 559, 'Olga.Johnson', 'You liked a post'), 
( 560, 'Tyree_Halvorson', 'You liked a post'), 
( 561, 'Cary.Wiegand', 'You liked a post'), 
( 562, 'Deshaun.Daugherty', 'You made a post'), 
( 563, 'Lupe_Heller', 'You liked a post'), 
( 564, 'Melvina.Raynor', 'You liked a post'), 
( 565, 'Norma_Trantow', 'You liked a post'), 
( 566, 'Gino', 'You liked a post'), 
( 567, 'Teresa_Bruen', 'You liked a post'), 
( 568, 'Jakayla_O'Keefe', 'You liked a post'), 
( 569, 'Else_Blanda', 'You liked a post'), 
( 570, 'Eloise', 'You made a comment'), 
( 571, 'Rosendo', 'You liked a post'), 
